Species,wings,rectrizes,tarsus,beak_volume,BodyMass.Value,Dossel,Inset-Plant
Phaeomyias_murina,54.6,51,18,3.204747774,10,0.5,0.6
Cnemotriccus_fuscatus,69.25,69.875,19.75,2.883882149,13.6,0.3,1
Lathrotriccus_euleri,59.7,51.3,13.95,2.84,11.33,0.3,1
Suiriri_suiriri,84.22,65.13,16.5,3.668032787,14.53,0.5,0.7
Myiopagis_caniceps,62.395,58.8,18.255,2.509473684,10.5,1,0.8
Phyllomyias_reiseri,57.85,59.4,15.36,3.186486486,7.48,1,0.7
Phyllomyias_burmeisteri,60.73,52.32,15.1,2.53164557,11.1,0.7,0.5
Elaenia_parvirostris,63.25,52.25,20.6,2.507407407,13.8,0.5,0.7
Elaenia_flavogaster,68.2,62,20.3,3.142857143,24.8,0.7,0.5
Elaenia_spectabilis,86.13,88,21.35,3.08,27.3,1,0.5
Camptostoma_obsoletum,54.4,46,16.37,2.848484848,8.1,0.8,0.7
Capsiempis_flaveola,50.65,53,17,2.669902913,7.7,0.7,1
Inezia_inornata,46.8,44.3,15.7,2.530120482,12,0.5,1
Serpophaga_subcristata,46,44.5,17.28,3.542319749,6.6,0.5,1
Colonia_colonus,82.7,58.6,14.65,2.234848485,18.3,0.6,1
Myiophobus_fasciatus,54.61,54.4,16.64,3.322727273,9.9,0.3,0.8
Euscarthmus_meloryphus,43.2,37.16,15.5,3.209549072,6.8,0.3,1
Myiozetetes_cayanensis,80.3,72.26,18.32,2.61732852,25.9,0.3,0.7
Myiozetetes_similis,89.4,65,20.7,2.986792453,28,0.5,0.5
Contopus_cinereus,69.8,62.6,15,2.624,11.6,0.6,1
Megarynchus_pitangua,118.5,88.17,19.7,2.95,69.91,0.8,0.8
Pitangus_sulphuratus,111.2,77,24.8,3.258547009,62.85,0.3,0.7
Myiodynastes_maculatus,104,81.2,11.7,2.631016043,43.2,0.7,0.7
Legatus_leucophaius,82.28,58.15,14.3,2.585454545,22.2,0.9,0.3
Tyrannus_melancholicus,111.15,94.5,20.7,3.203753351,37.4,0.8,1
Machetornis_rixosa,86.34,75.2,28.14,3.243440233,29.6,0,1
Myiarchus_swainsoni,88,75.6,23,4.010714286,25.1,0.3,0.7
Myiarchus_tyrannulus,93,87.92,22.15,3.853080569,35.45,0.2,0.8
Myiarchus_ferox,88.3,82.5,21.9,3.285714286,27.5,0.4,0.5
Sirystes_sibilator,91.9,81.55,20.75,2.847682119,32.3,1,0.8
Casiornis_rufus,85.89,80.8,23.16,3.321428571,24.8,0.6,1
Pachyramphus_validus,101.3,82.9,19.16,2.087912088,43,0.5,1
Pachyramphus_viridis,74.31,56.865,16.65,2.379310345,21,0.5,1
Pachyramphus_polychopterus,70.2,50.92,18.35,2.338345865,20.8,0.7,0.5
Tityra_inquisitor,101.47,59.3,20.005,2.700576822,43.1,0.7,0.2
Xenopsaris_albinucha,62.22,52.6,16.68,2.3,10,0.2,1
Tityra_cayana,122.35,69.35,26.17,2.438704028,68.1,0.5,0.2
Schiffornis_virescens,80.15,74,21.6,2.347457627,25.6,0.3,0.5
Oxyruncus_cristatus,93.45,75.3,20.5,2.8,42,0.8,0.2
Procnias_nudicollis,151.3,97,25,3.2,172.04,0.5,0
Phibalura_flavirostris,108,112.85,19,2.397058824,46.5,0.7,0.2
Pipra_fasciicauda,58,48.7,16.1,3.1,15.9,0.5,0
Chiroxiphia_caudata,71.64,47.8,19.7,2.152542373,25.6,0.5,0.5
Ilicura_militaris,60.31,42.4,17.6,2.647058824,12.7,0.5,0.5
Antilophia_galeata,80.87,74.63,17.9,2.698072805,21.48,0.5,0.4
Cyanocorax_cyanomelas,192.7,165,45,2.0625,207,0.5,0.5
Cyanocorax_cristatellus,185,124,45.5,2.10989011,178,0.4,0.4
Cyanocorax_chrysops,145,145,45,2.157142857,166,0.5,0.8
Cyclarhis_gujanensis,74.6,62.5,24.7,1.767857143,28.8,0.6,1
Vireo_olivaceus,73,56,20.4,2.939393939,16.06,0.9,0.6
Donacobius_atricapilla,81.3,87,33.3,3.957142857,36.8,0.5,1
Troglodytes_musculus,52.25,39.7,17.65,3.298969072,10.85,0.3,0.8
Cantorchilus_leucotis,66.3,46.4,26.8,3.865384615,19.44,0.4,1
Cantorchilus_guarayanus,54.5,42.2,23.4,4.083333333,13.5,0.7,1
Campylorhynchus_turdinus,83.87,77.25,29,5,32.6,0.8,0.8
Turdus_amaurochalinus,108.3,92,33.6,2.67816092,57.9,0.5,0.4
Turdus_rufiventris,119,103.25,43,2.920560748,69.44,0,0.5
Turdus_leucomelas,113.9,96,37.45,3.47826087,69.1,0.4,0.7
Polioptila_dumicola,50,50.5,17.5,4.115942029,7,0.9,1
Mimus_saturninus,108.3,113,31,2.88,63.7,0,1
Coereba_flaveola,54.4,31,17,3.482758621,10.01,0.4,0.3
Conirostrum_speciosum,54.5,40.5,14,2.196428571,8.8,0.4,0.7
Hemithraupis_guira,66.2,50.36,18.5,2.461538462,12,1,0.8
Dacnis_cayana,62.15,40.5,16.8,2.862068966,13,0.8,0.5
Stilpnia_cayana,75.9,53.6,18.3,2.516666667,18,0.7,0
Thraupis_palmarum,100.5,74.6,19.6,2.125,39,0.9,0.1
Thraupis_sayaca,90.85,63.6,21.5,2.128205128,32.49,0.9,0.1
Ramphocelus_carbo,81.4,87.4,26.3,2.087794433,25.92,0.4,0.5
Eucometis_penicillata,86.3,68.3,22.7,2.235955056,27,0.3,0.8
Tachyphonus_coronatus,76.75,83.3,24.4,2.188235294,29.3,0.6,0.6
Tachyphonus_rufus,82,88.4,26.5,2.32568306,34.4,0.4,0.6
Cypsnagra_hirundinacea,78.3,57.45,24.4,2.529927007,31.4,0.2,0.8
Neothraupis_fasciata,75.9,66.7,27,2.240583232,26.8,0.4,0.8
Nemosia_pileata,78,44.13,21.35,2.847368421,16,0.6,1
Pipraeida_melanonota,84.8,57.9,18.66,2.113761468,21,0.8,0.5
Paroaria_capitata,78.6,68,23,2.729824561,22.3,0.4,0.6
Thlypopsis_sordida,69.6,59.6,23.16,2.638888889,17,0.8,0.5
Coryphospingus_cucullatus,79.4,76.4,21.95,2.576923077,14.28,0.5,0
Trichothraupis_melanops,75.33,63.4,22.45,2.761904762,22.58,0.5,0.7
Saltator_similis,99.3,95,29.8,1.933333333,43.3,0.4,0.6
Saltator_maximus,87.3,86,25.75,1.770992366,47.62,0.5,0.6
Saltatricula_atricollis,89.4,89,26.1,1.689795918,53.8,0.4,0.6
Saltator_coerulescens,106,96,33.6,1.866666667,54.9,0.4,1
Tersina_viridis,88.5,59,19.18,1.692537313,29,0.8,0.3
Arremon_flavirostris,76,65,23.6,1.922077922,26.13,0.1,0.3
Zonotrichia_capensis,59.3,47.5,21.5,2.009589041,20.31,0,0.3
Volatinia_jacarina,48.7,45,17.2,2.18627451,9.94,0,0.4
Ammodramus_humeralis,61.6,46.2,18.55,1.815789474,15.99,0.4,0.2
Microspingus_melanoleucus,60,49.25,17.14,1.697674419,13.1,0.2,0.4
Sporophila_pileata,53.7,42.8,14.6,1.680672269,8.6,0.2,0
Sporophila_angolensis,55,54,18,1.259259259,13,0.1,0
Sporophila_frontalis,63.8,44.65,18.9,1.647904192,10.77,0,0.2
Sporophila_caerulescens,54.7,50,16.15,1.571428571,9.73,0.2,0.2
Sicalis_flaveola,75,49,23.54,1.66744186,16.89,0.2,0
Setophaga_pitiayumi,49,36.2,16.67,2.948717949,6.82,1,0.7
Geothlypis_aequinoctialis,59,48.9,22.25,2.820408163,13.1,0.3,1
Basileuterus_culicivorus,51.75,43.64,17.75,3.955555556,10.5,0.4,0.8
Basileuterus_leucoblepharus,65.5,51.66,26.7,3.318181818,15.1,0.2,1
Basileuterus_flaveolus,68.9,55.3,23.8,2.701754386,13.19,0.1,1
Basileuterus_leucophrys,69.7,65,27.4,2.952380952,18.1,0,1
Psarocolius_decumanus,180,140,43.9,2.388888889,206.3,0.8,0.4
Cacicus_haemorrhous,145.6,110,31.7,2.076271186,83.71,0.7,0.6
Cacicus_chrysopterus,105.4,95,29.55,1.932489451,36.16,0.8,0.5
Cacicus_solitarius,112.1,111,36.5,2.296551724,79.76,0.5,1
Icterus_croconotus,109.2,101,31.1,2.354185022,40.03,0.8,0.3
Icterus_pyrrhopterus,82.58795767,74.46223457,21.85723457,2.804388591,35.44,0.6,0.7
Gnorimopsar_chopi,122.6,87,30.5,2.041666667,65.9,0.4,0.4
Euphonia_chlorotica,58.3,30.5,16.56,1.914,11,1,0
Euphonia_violacea,58.5,37.6,16.4,1.846153846,15,0.7,0
Euphonia_pectoralis,60.75,29.5,18.1,1.771428571,14.4,0.9,0.2
Chlorophonia_cyanea,60.86,27.3,16.43,1.878228782,14,0.9,0
Spinus_magellanicus,66.3,39.18,16.2,1.700906344,13.6,0.5,0.1
Amaurospiza_moesta,63.3,47.4,19.4,1.773399015,13.6,0.1,0.2
